,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type
0,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,355b0137bb32c32ed4fcb40063e6df18,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/355b0137bb32c32ed4fcb40063e6df18,ma-xiao-dian-54,people
1,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,208324ccc78990a3dcf5dfe8e81a7e9f,False,False,False,False,????,people,http://www.zhihu.com/api/v4/people/208324ccc78990a3dcf5dfe8e81a7e9f,yan-xue-zhang-yi,people
2,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,????,69450a24d2d3cf41508d3fedb0e8ccf5,False,False,False,False,weizbbs,people,http://www.zhihu.com/api/v4/people/69450a24d2d3cf41508d3fedb0e8ccf5,weizbbs,people
3,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,????,3fe0a699f272b84b5ef31a555346994a,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/3fe0a699f272b84b5ef31a555346994a,sun-zhen-tao-86,people
4,1,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],6,-1,,f17ac7887027a6f5bab296da0f964ddf,False,False,False,False,wangcheng,people,http://www.zhihu.com/api/v4/people/f17ac7887027a6f5bab296da0f964ddf,wangcheng-36,people
5,0,0,https://pic1.zhimg.com/v2-6027fb01f071d6956ed3c4cf34582214_is.jpg,https://pic1.zhimg.com/v2-6027fb01f071d6956ed3c4cf34582214_{size}.jpg,[],3,1,?????,b1268822c566f4e7ba1f36cbfe2f718c,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/b1268822c566f4e7ba1f36cbfe2f718c,liang-kuai-jia-50,people
6,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,????,66f58cd6f196c959ba4064ebc766f00d,False,False,False,False,??,people,http://www.zhihu.com/api/v4/people/66f58cd6f196c959ba4064ebc766f00d,mi-ren-10-23,people
7,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,?????,ca1eaf54d62a045f036e1ab90c2bb06c,False,False,False,False,??-Hero,people,http://www.zhihu.com/api/v4/people/ca1eaf54d62a045f036e1ab90c2bb06c,xiao-qiang-hero,people
8,3,0,https://pic1.zhimg.com/v2-62bd92a957916d1e2ffd9a54c1fe0c30_is.jpg,https://pic1.zhimg.com/v2-62bd92a957916d1e2ffd9a54c1fe0c30_{size}.jpg,[],2,-1,????,e1fc39d750488ad6ac9376fe1a71d14c,False,False,False,False,???????,people,http://www.zhihu.com/api/v4/people/e1fc39d750488ad6ac9376fe1a71d14c,chosyanzhu-suyuan,people
9,0,0,https://pic2.zhimg.com/v2-4ff4ccab5c32967c88bcf130713eb1bd_is.jpg,https://pic2.zhimg.com/v2-4ff4ccab5c32967c88bcf130713eb1bd_{size}.jpg,[],0,0,,43f86ae6c23988f5b560b60fc8b522c1,False,False,False,False,Nukt ereutes,people,http://www.zhihu.com/api/v4/people/43f86ae6c23988f5b560b60fc8b522c1,li-hua-37-36,people
10,13,0,https://pic4.zhimg.com/v2-16542f64f6616c4d640a8b3060b57453_is.jpg,https://pic4.zhimg.com/v2-16542f64f6616c4d640a8b3060b57453_{size}.jpg,[],24,1,??????????????,208a542707a61f7231659fbfee94909b,False,False,False,False,Lily,people,http://www.zhihu.com/api/v4/people/208a542707a61f7231659fbfee94909b,Lily-3a-t4,people
11,4,0,https://pic4.zhimg.com/v2-6dacd7304e74f408661c800c81a44227_is.jpg,https://pic4.zhimg.com/v2-6dacd7304e74f408661c800c81a44227_{size}.jpg,[],4,0,????????(???? ?????),beb5084c5654b12b4535fc8e56ac77d4,False,False,False,False,???????,people,http://www.zhihu.com/api/v4/people/beb5084c5654b12b4535fc8e56ac77d4,tan-hao-rui-39,people
12,0,0,https://pic1.zhimg.com/9107fb324_is.jpg,https://pic1.zhimg.com/9107fb324_{size}.jpg,[],5,1,,d27c46a6a9f6aff49be67f6a02698c96,False,False,False,False,Xiayang Liu,people,http://www.zhihu.com/api/v4/people/d27c46a6a9f6aff49be67f6a02698c96,xiayang-liu,people
13,20,0,https://pic1.zhimg.com/v2-4628e88fcab28643492db1708037fce4_is.jpg,https://pic1.zhimg.com/v2-4628e88fcab28643492db1708037fce4_{size}.jpg,[],126,0,???/?????/?????/??????,cc3098871b7fde9baae08c9fa10fda52,False,False,False,False,CoQ,people,http://www.zhihu.com/api/v4/people/cc3098871b7fde9baae08c9fa10fda52,coq-70,people
14,2,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],5,1,??????????,bf8ff52fdb1f25265473951619b799c1,False,False,False,False,James Lin,people,http://www.zhihu.com/api/v4/people/bf8ff52fdb1f25265473951619b799c1,lin-jian-99-70,people
15,3,3,https://pic1.zhimg.com/v2-07326a169b968e3c158749e560239c30_is.jpg,https://pic1.zhimg.com/v2-07326a169b968e3c158749e560239c30_{size}.jpg,[],2,1,????? ???ACCA??,d8c5d13b5dcf471e63506c4b08a4ee7c,False,False,False,False,?????,people,http://www.zhihu.com/api/v4/people/d8c5d13b5dcf471e63506c4b08a4ee7c,jiang-feng-46-65,people
16,0,0,https://pic3.zhimg.com/v2-448460e3f40ce3e798b30b2bb32330ba_is.jpg,https://pic3.zhimg.com/v2-448460e3f40ce3e798b30b2bb32330ba_{size}.jpg,[],1,-1,????,eda606bd72b14bf83311757f81401189,False,False,False,False,????,people,http://www.zhihu.com/api/v4/people/eda606bd72b14bf83311757f81401189,nian-hua-yi-bei-92,people
17,165,0,https://pic3.zhimg.com/v2-68ac5753d77279170a1dd7fe286c9ede_is.jpg,https://pic3.zhimg.com/v2-68ac5753d77279170a1dd7fe286c9ede_{size}.jpg,[],47,1,???????????????????????????????????,fd7b0f6bf9d79bf6b472520136d9d84a,False,False,False,False,?????,people,http://www.zhihu.com/api/v4/people/fd7b0f6bf9d79bf6b472520136d9d84a,chu-shou-de-guo-zi-59,people
18,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,??,920ebbba8fbd50bf745cc328bcec2b44,False,False,False,False,shanshan333,people,http://www.zhihu.com/api/v4/people/920ebbba8fbd50bf745cc328bcec2b44,shanshan333,people
19,1,0,https://pic2.zhimg.com/3f3c95ae1ef4dc5a2d8753f67ae31269_is.png,https://pic2.zhimg.com/3f3c95ae1ef4dc5a2d8753f67ae31269_{size}.png,[],10,1,????????,662e426fd2c9f4ef3b0856e0225afb0a,False,False,False,False,????,people,http://www.zhihu.com/api/v4/people/662e426fd2c9f4ef3b0856e0225afb0a,kodoyang,people
20,0,0,https://pic2.zhimg.com/v2-4a2c430c63b002efc86f367a4ce07141_is.jpg,https://pic2.zhimg.com/v2-4a2c430c63b002efc86f367a4ce07141_{size}.jpg,[],0,0,?????,67ed003b19faacb6cf4cf894e01762ea,False,False,False,False,?????,people,http://www.zhihu.com/api/v4/people/67ed003b19faacb6cf4cf894e01762ea,shi-na-zhi-mao-tu-a,people
21,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,????,8076cd25e5f6ec739895a89c9c8afcae,False,False,False,False,???,people,http://www.zhihu.com/api/v4/people/8076cd25e5f6ec739895a89c9c8afcae,yu-jian-zhu-22-72,people
22,7,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],4,1,,1ae984ab1df07c7df6f0c130f434b0c7,False,False,False,False,rogers roger,people,http://www.zhihu.com/api/v4/people/1ae984ab1df07c7df6f0c130f434b0c7,rogers-roger-88,people
23,0,0,https://pic2.zhimg.com/v2-3e13531bfeb8f280396d213847bb18c9_is.jpg,https://pic2.zhimg.com/v2-3e13531bfeb8f280396d213847bb18c9_{size}.jpg,[],1,1,,8efbb771534dc7de6f5b15629535190f,False,False,False,False,bingdaohouy,people,http://www.zhihu.com/api/v4/people/8efbb771534dc7de6f5b15629535190f,dui-xian-wo-shi-zhen-de-ruo,people
